Cause_Name,State,Deaths,Year
Suicide,California,4294,2016
Suicide,California,4167,2015
Suicide,California,4214,2014
Suicide,California,4025,2013
Suicide,California,3893,2012
Suicide,California,3996,2011
Suicide,California,3913,2010
Suicide,California,3823,2009
Suicide,California,3775,2008
Suicide,California,3602,2007
Suicide,California,3334,2006
Suicide,California,3206,2005
Suicide,California,3368,2004
Suicide,California,3397,2003
Suicide,California,3228,2002
Suicide,California,2831,2001
Suicide,California,2969,2000
Suicide,California,3077,1999
